1PASSWORD-BROWSERSUPPORT.EXE-AB96B132.pf,8/10/2023 8:00:17 AM,8/10/2023 8:00:17 AM,"34,774",1PASSWORD-BROWSERSUPPORT.EXE,C:\Users\nmoyer\AppData\Local\1PASSWORD\app\8\1PASSWORD-BROWSERSUPPORT.EXE,1,8/10/2023 8:00:15 AM,No
1PASSWORD.EXE-76030E44.pf,6/8/2023 10:46:09 AM,8/10/2023 7:59:34 AM,"40,507",1PASSWORD.EXE,C:\Users\nmoyer\AppData\Local\1PASSWORD\app\8\1PASSWORD.EXE,48,"8/10/2023 7:59:23 AM, 8/9/2023 7:55:02 AM, 8/8/2023 1:44:15 PM, 8/8/2023 11:14:39 AM, 8/8/2023 7:59:24 AM, 8/7/2023 1:46:39 PM, 8/7/2023 8:02:49 AM, 8/4/2023 11:09:53 AM",No
1PASSWORD.EXE-76030E45.pf,8/10/2023 8:14:00 AM,8/10/2023 8:14:07 AM,"16,897",1PASSWORD.EXE,C:\Users\nmoyer\AppData\Local\1PASSWORD\app\8\1PASSWORD.EXE,2,"8/10/2023 8:13:57 AM, 8/10/2023 8:13:50 AM",No
1PASSWORD.EXE-76030E46.pf,8/10/2023 7:59:34 AM,8/10/2023 8:01:25 AM,"23,646",1PASSWORD.EXE,C:\Users\nmoyer\AppData\Local\1PASSWORD\app\8\1PASSWORD.EXE,2,"8/10/2023 8:01:24 AM, 8/10/2023 7:59:24 AM",No
1PASSWORD.EXE-76030E4C.pf,8/10/2023 7:59:34 AM,8/10/2023 7:59:34 AM,"8,063",1PASSWORD.EXE,C:\Users\nmoyer\AppData\Local\1PASSWORD\app\8\1PASSWORD.EXE,1,8/10/2023 7:59:24 AM,No
7ZFM.EXE-44040917.pf,6/6/2023 4:38:47 PM,6/6/2023 4:38:47 PM,"11,661",7ZFM.EXE,C:\PROGRAM FILES\7-Zip\7zFM.exe,1,6/6/2023 4:38:45 PM,No
ACCESS TIME ANALYZER.EXE-8F380D7E.pf,6/12/2023 1:46:58 PM,8/10/2023 4:19:34 PM,"59,045",ACCESS TIME ANALYZER.EXE,C:\PROGRAM FILES\ACCESS TIME ANALYZER\ACCESS TIME ANALYZER.EXE,8,"8/10/2023 4:19:24 PM, 8/10/2023 4:15:43 PM, 8/10/2023 4:12:02 PM, 8/10/2023 4:09:15 PM, 8/10/2023 4:09:04 PM, 8/10/2023 3:30:41 PM, 8/10/2023 1:28:22 PM, 6/12/2023 1:46:48 PM",No
ACCESS TIME ANALYZER.EXE-A2202B75.pf,8/10/2023 2:24:50 PM,8/10/2023 4:39:42 PM,"42,227",ACCESS TIME ANALYZER.EXE,C:\Users\nmoyer\source\repos\PROFILE CLEANER\ACCESSTIMEANALYZERPUBLIC\ACCESS TIME ANALYZER\ACCESS TIME ANALYZER\bin\Debug\ACCESS TIME ANALYZER.EXE,11,"8/10/2023 4:39:35 PM, 8/10/2023 4:33:25 PM, 8/10/2023 4:26:56 PM, 8/10/2023 4:21:40 PM, 8/10/2023 4:16:33 PM, 8/10/2023 4:07:02 PM, 8/10/2023 4:06:11 PM, 8/10/2023 3:13:28 PM",No
ACROBAT.EXE-1771D4E1.pf,6/6/2023 5:01:24 PM,8/10/2023 11:35:24 AM,"27,839",ACROBAT.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\Acrobat.exe,70,"8/10/2023 11:35:14 AM, 8/9/2023 10:02:25 AM, 8/9/2023 10:02:24 AM, 8/9/2023 8:34:56 AM, 8/8/2023 2:37:07 PM, 8/8/2023 9:53:51 AM, 8/7/2023 2:43:13 PM, 8/7/2023 2:09:48 PM",No
ACROBAT.EXE-1771D4E2.pf,6/12/2023 11:55:50 AM,8/10/2023 11:35:25 AM,"46,103",ACROBAT.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\Acrobat.exe,54,"8/10/2023 11:35:15 AM, 8/9/2023 10:02:24 AM, 8/9/2023 8:34:56 AM, 8/8/2023 2:37:07 PM, 8/8/2023 9:53:51 AM, 8/7/2023 2:43:13 PM, 8/7/2023 2:09:47 PM, 8/7/2023 10:45:23 AM",No
ACROCEF.EXE-28BE7BDF.pf,8/10/2023 11:35:30 AM,8/10/2023 11:35:30 AM,"42,617",ACROCEF.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\ACROCEF_1\AcroCEF.exe,1,8/10/2023 11:35:20 AM,No
ACROCEF.EXE-28BE7BE1.pf,8/10/2023 11:35:31 AM,8/10/2023 11:35:31 AM,"26,280",ACROCEF.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\ACROCEF_1\AcroCEF.exe,1,8/10/2023 11:35:20 AM,No
ACROCEF.EXE-28BE7BE7.pf,8/10/2023 11:35:31 AM,8/10/2023 11:35:31 AM,"17,096",ACROCEF.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\ACROCEF_1\AcroCEF.exe,2,"8/10/2023 11:35:21 AM, 8/10/2023 11:35:21 AM",No
ACRORD32.EXE-41B0A0C7.pf,7/13/2023 9:34:01 AM,7/13/2023 9:34:01 AM,"20,014",ACRORD32.EXE,C:\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE,1,7/13/2023 9:33:51 AM,Yes
ACRORD32.EXE-41B0A0C8.pf,7/13/2023 9:34:01 AM,7/13/2023 9:34:01 AM,"25,211",ACRORD32.EXE,C:\PROGRAM FILES (X86)\ADOBE\ACROBAT READER DC\READER\ACRORD32.EXE,1,7/13/2023 9:33:51 AM,Yes
ACROSERVICESUPDATER.EXE-1D73312E.pf,8/9/2023 10:38:10 PM,8/9/2023 10:38:10 PM,"40,978",ACROSERVICESUPDATER.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\AcroCEF\ACROSERVICESUPDATER.EXE,1,8/9/2023 10:38:06 PM,No
ACROTRAY.EXE-12F7219E.pf,6/6/2023 5:22:02 PM,7/28/2023 3:09:34 PM,"24,237",ACROTRAY.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\acrotray.exe,13,"7/28/2023 3:09:24 PM, 7/20/2023 6:19:16 PM, 7/20/2023 6:19:17 PM, 6/23/2023 3:11:14 PM, 6/23/2023 3:11:15 PM, 6/23/2023 9:22:32 AM, 6/23/2023 9:22:31 AM, 6/13/2023 11:09:31 AM",No
ADMINUI.EXTENSIONINSTALLER.EX-DF5DC3AF.pf,6/6/2023 4:19:51 PM,6/6/2023 4:20:53 PM,"38,940",ADMINUI.EXTENSIONINSTALLER.EXE,C:\PROGRAM FILES (X86)\CONFIGMGR CONSOLE\bin\ADMINUI.EXTENSIONINSTALLER.EXE,2,"6/6/2023 4:20:42 PM, 6/6/2023 4:19:51 PM",No
ADOBE_LICENSING_WF_ACRO.EXE-1B5E83E5.pf,6/6/2023 5:02:14 PM,6/12/2023 11:49:21 AM,"39,733",ADOBE_LICENSING_WF_ACRO.EXE,C:\PROGRAM FILES (X86)\Adobe\ACROBAT DC\Acrobat\NGL\CEFWORKFLOW\ADOBE_LICENSING_WF_ACRO.EXE,6,"6/12/2023 11:49:11 AM, 6/12/2023 11:18:54 AM, 6/12/2023 11:18:27 AM, 6/6/2023 5:13:24 PM, 6/6/2023 5:13:08 PM, 6/6/2023 5:01:56 PM",No
AGENTEXECUTOR.EXE-59FAEA80.pf,6/6/2023 2:26:20 PM,8/10/2023 2:48:58 PM,"19,215",AGENTEXECUTOR.EXE,C:\PROGRAM FILES (X86)\MICROSOFT INTUNE MANAGEMENT EXTENSION\AGENTEXECUTOR.EXE,378,"8/10/2023 2:48:58 PM, 8/10/2023 12:48:58 PM, 8/10/2023 10:48:57 AM, 8/10/2023 8:48:56 AM, 8/9/2023 5:55:26 PM, 8/9/2023 3:55:25 PM, 8/9/2023 1:55:25 PM, 8/9/2023 11:55:24 AM",No
AI.EXE-D730519D.pf,8/10/2023 8:00:25 AM,8/10/2023 8:08:06 AM,"22,918",AI.EXE,C:\PROGRAM FILES\MICROSOFT OFFICE\root\vfs\PROGRAMFILESCOMMONX64\MICROSOFT SHARED\Office16\ai.exe,2,"8/10/2023 8:07:56 AM, 8/10/2023 8:00:15 AM",No
AOTAGENT.EXE-97F6BDF5.pf,8/9/2023 7:35:13 PM,8/10/2023 2:48:59 AM,"27,669",AOTAGENT.EXE,C:\PROGRAM FILES (X86)\TREND MICRO\AOT\AOTAgent.exe,4,"8/10/2023 2:48:49 AM, 8/10/2023 12:07:50 AM, 8/9/2023 8:18:57 PM, 8/9/2023 7:35:03 PM",No
APPLICATIONFRAMEHOST.EXE-4CE44C83.pf,6/6/2023 4:52:08 PM,8/10/2023 8:06:59 AM,"19,930",APPLICATIONFRAMEHOST.EXE,C:\Windows\System32\APPLICATIONFRAMEHOST.EXE,43,"8/10/2023 8:06:49 AM, 8/8/2023 1:50:55 PM, 8/8/2023 11:20:18 AM, 8/8/2023 8:03:11 AM, 8/7/2023 1:56:27 PM, 8/7/2023 8:06:55 AM, 8/4/2023 11:10:28 AM, 8/4/2023 8:02:31 AM",No
ARMSVC.EXE-656BFEF9.pf,8/9/2023 10:38:51 PM,8/9/2023 10:38:51 PM,"3,362",ARMSVC.EXE,C:\PROGRAM FILES (X86)\COMMON FILES\Adobe\ARM\1.0\armsvc.exe,1,8/9/2023 10:38:41 PM,No
ASDTOOL.EXE-9114B779.pf,8/9/2023 9:46:53 PM,8/10/2023 12:32:02 AM,"8,400",ASDTOOL.EXE,C:\PROGRAM FILES\TREND MICRO\CLOUD ENDPOINT\modules\ASDBRIDGEMODULE\ASDTool.exe,2,"8/10/2023 12:31:58 AM, 8/9/2023 9:46:49 PM",No
ATMGR.EXE-CB70EFB2.pf,6/16/2023 10:00:26 AM,6/20/2023 12:06:28 PM,"92,824",ATMGR.EXE,C:\Users\nmoyer\AppData\Local\WebEx\WebEx64\Meetings\atmgr.exe,4,"6/20/2023 12:06:18 PM, 6/20/2023 7:55:23 AM, 6/16/2023 12:01:34 PM, 6/16/2023 10:00:20 AM",No
AUDIODG.EXE-9848A323.pf,8/10/2023 8:11:50 AM,8/10/2023 8:40:50 AM,"10,588",AUDIODG.EXE,C:\Windows\System32\audiodg.exe,3,"8/10/2023 8:40:40 AM, 8/10/2023 8:32:48 AM, 8/10/2023 8:11:40 AM",No
AUTHMANSVR.EXE-01DB6BF4.pf,8/3/2023 10:42:24 AM,8/10/2023 1:21:11 PM,"19,800",AUTHMANSVR.EXE,C:\PROGRAM FILES (X86)\Citrix\ICA CLIENT\AUTHMANAGER\AUTHMANSVR.EXE,13,"8/10/2023 1:21:01 PM, 8/10/2023 8:04:46 AM, 8/9/2023 8:00:35 AM, 8/8/2023 1:49:51 PM, 8/8/2023 11:20:14 AM, 8/8/2023 8:04:49 AM, 8/7/2023 1:49:50 PM, 8/7/2023 8:08:20 AM",No
